NHE_eq149,Type of cells: Tubular cells,,
Parameter,Description/unit, Value,Ref
k1,cm^3 · mmol^-1 · s^-1,100000000,"[34, 63]"
k2,s^-1,3270000,
k3,cm^3 · mmol^-1 · s^-1,100000000,
k4,s^-1,3.52,
k5,cm^3 · mmol^-1 · s^-1,100000000,
k6,s^-1,713000,
k7,cm^3 · mmol^-1 · s^-1,100000000,
k8,s^-1,3270000,
k9,cm^3 · mmol^-1 · s^-1,100000000,
k10,s^-1,3.52,
k11,cm^3 · mmol^-1 · s^-1,100000000,
k12,s^-1,713000,
k13,Translocation rate constant-s^-1,2.41*e0*w,
k14,Translocation rate constant-s^-1,2.41*e0*w,
k15,Translocation rate constant-s^-1,4.80e-1*w,
k16,Translocation rate constant-s^-1,4.80e-1*w,
k17,Translocation rate constant-s^-1,2.41*e0*w,
k18,Translocation rate constant-s^-1,2.41*e0*w,
